SOC [%],Voltage [V],Frequency [Hz],Re(Ztot) [Ohm],-Im(Ztot) [Ohm]
100,1.6051553,100003.71,0.10489658,-0.11587092
100,1.6051552,79433.273,0.10567975,-0.088378094
100,1.6051521,63093.824,0.10856556,-0.064859763
100,1.6051537,50122.477,0.10782344,-0.046677243
100,1.6051531,39814.059,0.1046617,-0.032887176
100,1.6051592,31621.139,0.11201911,-0.014764125
100,1.6051471,25116.91,0.11104347,-0.0069867275
100,1.6051476,19948.785,0.11019703,0.0012583878
100,1.6051527,15847.683,0.11623597,0.012908508
100,1.6051507,12590.93,0.11691971,0.017629907
100,1.6051462,10002.226,0.12230506,0.024739353
100,1.6051459,7943.999,0.12780669,0.034950145
100,1.6051353,6307.7339,0.13407004,0.041330427
100,1.6051352,5011.604,0.13518086,0.047997989
100,1.6051407,3981.2744,0.1389475,0.05867146
100,1.6051295,3161.0117,0.14433414,0.067449614
100,1.605129,2510.8032,0.14919251,0.081243627
100,1.6051269,1995.6388,0.15806535,0.087285519
100,1.6051254,1585.5074,0.15994038,0.10685959
100,1.6051267,1258.7913,0.162192,0.13276616
100,1.6051228,1000.3202,0.16875058,0.15606432
100,1.6051224,794.23785,0.173669,0.19653922
100,1.605127,631.00964,0.17670295,0.24001136
100,1.6051173,501.44418,0.1893948,0.29370895
100,1.6051104,398.08914,0.19501986,0.36310917
100,1.605113,316.31589,0.20401669,0.45071945
100,1.6051147,251.04433,0.21548735,0.55998105
100,1.6051129,199.55299,0.23585914,0.69418234
100,1.6051166,158.42841,0.26061088,0.86051953
100,1.6051033,125.84567,0.30007774,1.0692691
100,1.6051074,100.03201,0.35284373,1.3284302
100,1.6050925,79.415512,0.43257692,1.6459662
100,1.6050848,63.082298,0.55015969,2.028631
100,1.6050676,50.144421,0.7164591,2.4876471
100,1.6050626,39.808914,0.95708174,3.0409062
100,1.6049745,31.629555,1.2994908,3.668781
100,1.6049026,25.104433,1.7826792,4.3878512
100,1.6048058,19.955299,2.4516339,5.1381435
100,1.604624,15.857577,3.3484845,5.8836179
100,1.6045109,12.600809,4.5135913,6.4810977
100,1.60436,10.003201,5.8751316,6.8425756
100,1.6041353,7.9395323,7.3156261,6.8765993
100,1.6040034,6.3105812,8.6606398,6.5377059
100,1.6038741,5.0080128,9.7932577,5.9554129
100,1.6037202,3.9778516,10.65467,5.2646284
100,1.603655,3.1629555,11.23523,4.5297403
