SOC [%],Voltage [V],Frequency [Hz],Re(Ztot) [Ohm],-Im(Ztot) [Ohm]
100,1.6089379,100003.71,0.173500633333333,-0.0514606783333333
100,1.60893408333333,79433.273,0.171320966666667,-0.0369616083333333
100,1.6089282,63093.824,0.172078583333333,-0.0239799766666667
100,1.60892423333333,50122.477,0.175030566666667,-0.0144701836666667
100,1.60892216666667,39814.059,0.1742995,-0.0059518975
100,1.6089174,31621.139,0.17758395,0.00325937066666667
100,1.60891708333333,25116.91,0.179732316666667,0.00860014933333333
100,1.60891326666667,19948.785,0.181975033333333,0.016186544
100,1.60891166666667,15847.683,0.1851245,0.023614965
100,1.60891166666667,12590.93,0.18874595,0.0279323883333333
100,1.60891008333333,10002.226,0.194769833333333,0.0345949733333333
100,1.60890976666667,7943.999,0.197945083333333,0.04018014
100,1.60890753333333,6307.7339,0.202160816666667,0.0466482933333333
100,1.60890706666667,5011.604,0.208449266666667,0.054722155
100,1.60890611666667,3981.2744,0.21240065,0.062726085
100,1.60890388333333,3161.0117,0.217522066666667,0.071885595
100,1.60890213333333,2510.8032,0.223947683333333,0.0834071433333333
100,1.6089015,1995.6388,0.2286301,0.0976375633333333
100,1.60889863333333,1585.5074,0.233709383333333,0.114798785
100,1.60889371666667,1258.7913,0.23867955,0.137566685
100,1.6088926,1000.3202,0.24358585,0.163829226666667
100,1.60889036666667,794.23785,0.249713916666667,0.199700833333333
100,1.60889593333333,631.00964,0.255404733333333,0.24216005
100,1.60889196666667,501.44418,0.2593039,0.295466183333333
100,1.60888226666667,398.08914,0.268145733333333,0.367156033333333
100,1.6088926,316.31589,0.27674885,0.451520833333333
100,1.60889418333333,251.04433,0.28585295,0.560856816666667
100,1.60887431666667,199.55299,0.299536716666667,0.695241683333333
100,1.60886191666667,158.42841,0.317702316666667,0.865760483333333
100,1.60890531666667,125.84567,0.343930516666667,1.0782241
100,1.60890976666667,100.03201,0.380861283333333,1.34422398333333
100,1.60883443333333,79.415512,0.4339335,1.6734445
100,1.60887655,63.082298,0.508991233333333,2.08615433333333
100,1.6088756,50.144421,0.624605816666667,2.59004766666667
100,1.60878101666667,39.808914,0.804248816666667,3.21010466666667
100,1.6087068,31.629555,1.0297838,3.94967116666667
100,1.60893043333333,25.104433,1.39516273333333,4.87334216666667
100,1.60893121666667,19.955299,1.92878683333333,5.9071745
100,1.60897636666667,15.857577,2.7204485,7.15151916666667
100,1.60875796666667,12.600809,3.861824,8.362723
100,1.60837158333333,10.003201,5.42779866666667,9.65695383333333
100,1.60862286666667,7.9395323,7.37735616666667,10.6827075
100,1.6082937,6.3105812,9.513855,11.3357773333333
100,1.60803746666667,5.014442,11.9756788333333,11.6296768333333
100,1.60814015,3.9778516,14.3800303333333,10.9809901666667
100,1.60803143333333,3.1603963,16.4606653333333,10.2944475
100,1.60790586666667,2.5136747,18.046905,9.16481966666667
100,1.60771433333333,1.9970603,19.2994166666667,8.00108533333333
100,1.60757286666667,1.5846856,20.14848,6.87891
100,1.6075937,1.2596742,20.5933083333333,5.9111405
100,1.60772498333333,1.0000639,20.8397466666667,5.06134766666667
100,1.60790205,0.79443753,21.0124566666667,4.36449916666667
100,1.60804128333333,0.63126212,21.10105,3.88497666666667
100,1.60806353333333,0.50118679,21.05804,3.57770033333333
100,1.60798868333333,0.39774463,21.0022416666667,3.31960516666667
100,1.60785293333333,0.3161931,20.9472066666667,3.12494666666667
100,1.60772736666667,0.25117347,20.8615883333333,3.04915683333333
100,1.60772005,0.19933917,20.6858316666667,3.14749183333333
100,1.60785356666667,0.15846856,20.4705833333333,3.28167883333333
100,1.60807816666667,0.12590654,20.413845,3.4126205
100,1.60838715,0.09990409,20.451515,3.62055433333333
100,1.6049536,100003.71,0.173585133333333,-0.0505104166666667
100,1.60498936666667,79433.273,0.174267266666667,-0.036637205
100,1.6050539,63093.824,0.17547775,-0.0247734983333333
100,1.60511556666667,50122.477,0.1775198,-0.0155541251666667
100,1.60514576666667,39814.059,0.178148883333333,-0.00622178116666667
100,1.60520125,31621.139,0.179882066666667,0.00276095333333333
100,1.60522985,25116.91,0.1811671,0.0102759363333333
100,1.60525513333333,19948.785,0.183724266666667,0.0162168828333333
100,1.6053063,15847.683,0.188312583333333,0.0211119583333333
100,1.60533205,12590.93,0.193698233333333,0.0282235866666667
100,1.6053567,10002.226,0.195250666666667,0.0324629816666667
100,1.60538291666667,7943.999,0.199762616666667,0.0403107933333333
100,1.60541136666667,6307.7339,0.20666255,0.0478578416666667
100,1.60544633333333,5011.604,0.21159415,0.054441025
100,1.60548178333333,3981.2744,0.216743233333333,0.0624262833333333
100,1.60551675,3161.0117,0.221609616666667,0.070197815
100,1.6055495,2510.8032,0.227878583333333,0.0843279266666667
100,1.60558461666667,1995.6388,0.230656866666667,0.096818885
100,1.60561673333333,1585.5074,0.236564116666667,0.114810188333333
