SOC [%],Time [s],Voltage [V]
90,131037.8237512,1.4607499
90,131037.874151187,1.4616476
90,131038.874150952,1.4621634
90,131039.874150718,1.4623736
90,131040.874150483,1.46245
90,131041.874150248,1.4625264
90,131042.874150014,1.4625074
90,131043.874149779,1.4626983
90,131044.874149544,1.4627748
90,131045.87414931,1.4626983
90,131046.874149075,1.4627938
90,131047.87414884,1.4627557
90,131048.874148605,1.462813
90,131049.874148371,1.4627748
90,131050.874148136,1.4628321
90,131051.874147901,1.4629085
90,131052.874147667,1.4630231
90,131053.874147432,1.463004
90,131054.874147197,1.4628512
90,131055.874146962,1.4630423
90,131056.874146726,1.4629467
90,131057.874146487,1.4630804
90,131058.874146249,1.4629467
90,131059.87414601,1.4631187
90,131060.874145772,1.4628894
90,131061.874145533,1.4630804
90,131062.874145295,1.4631187
90,131063.874145057,1.4630423
90,131064.874144818,1.4629467
90,131065.87414458,1.4631377
90,131066.874144341,1.4630613
90,131067.874144103,1.4631951
90,131068.874143864,1.4631759
90,131069.874143626,1.4631568
90,131070.874143388,1.4631759
90,131071.874143149,1.4630231
90,131072.874143257,1.4632142
90,131073.874143413,1.4631187
90,131074.874143569,1.4631759
90,131075.874143726,1.4630613
90,131076.874143882,1.4631568
90,131077.874144039,1.4632332
90,131078.874144195,1.4632332
90,131079.874144352,1.4632906
90,131080.874144508,1.4632715
90,131081.874144665,1.4632523
90,131082.874144821,1.4634051
90,131083.874144978,1.4632715
90,131084.874145134,1.4631951
90,131085.874145291,1.4632523
90,131086.874145447,1.4633287
90,131087.874145604,1.4632906
90,131088.87414576,1.4631759
90,131089.874145916,1.4632142
90,131090.874146073,1.4633479
90,131091.874146229,1.4631759
90,131092.874146386,1.4632332
90,131093.874146542,1.4633287
90,131094.874146699,1.4633096
90,131095.874146855,1.4632715
90,131096.874147012,1.4633479
90,131097.874147168,1.4634625
90,131098.874147325,1.4632142
90,131099.874147481,1.4633479
90,131100.874147638,1.4633287
90,131101.874147794,1.4634051
90,131102.87414795,1.463367
90,131103.874148107,1.4634243
90,131104.874148263,1.463367
90,131105.87414842,1.463367
90,131106.874148576,1.4633479
90,131107.874148733,1.4634815
90,131108.874148889,1.4634434
90,131109.874149046,1.4635007
90,131110.874149202,1.463367
90,131111.874149359,1.4635198
90,131112.874149515,1.4633861
90,131113.874149671,1.4634243
90,131114.874149828,1.4634434
90,131115.874149984,1.4635389
90,131116.874150141,1.4634434
90,131117.874150297,1.4634815
90,131118.874150454,1.4635198
90,131119.87415061,1.4635198
90,131120.874150767,1.4634815
90,131121.874150923,1.463558
90,131122.87415108,1.4634815
90,131123.874151236,1.4633861
90,131124.874151393,1.4635389
90,131125.874151549,1.4634243
90,131126.874151706,1.4634625
90,131127.874151862,1.4635198
90,131128.874152019,1.4635389
90,131129.874152175,1.4636153
90,131130.874152331,1.4635007
90,131131.874152488,1.4635772
90,131132.874152644,1.4636344
90,131133.874152801,1.463558
90,131134.874152957,1.4634815
90,131135.874153114,1.4635389
90,131136.87415327,1.4634625
90,131137.874153427,1.463558
90,131138.874153583,1.4636153
90,131139.87415374,1.4634625
90,131140.874153896,1.463558
90,131141.874154052,1.463558
90,131142.874154209,1.4635962
90,131143.874154365,1.4635962
90,131144.874154522,1.4635007
90,131145.874154678,1.4635962
90,131146.874154835,1.4635389
90,131147.874154991,1.4638064
90,131148.874155148,1.4635198
90,131149.874155304,1.4636917
90,131150.874155461,1.4636153
90,131151.874155617,1.4638064
90,131152.874155773,1.4635962
90,131153.87415593,1.4635389
90,131154.874156087,1.4636536
90,131155.874156243,1.4635962
90,131156.874156399,1.4635962
90,131157.874156556,1.463558
90,131158.874156712,1.4637491
90,131159.874156869,1.4636153
90,131160.874157025,1.4636536
90,131161.874157182,1.4636917
90,131162.874157338,1.4635772
90,131163.874157495,1.46373
90,131164.874157651,1.46373
90,131165.874157808,1.463558
90,131166.874157964,1.4636726
90,131167.874158121,1.4636726
90,131168.874158277,1.4636726
90,131169.874158433,1.46373
90,131170.87415859,1.4637491
90,131171.874158746,1.4638636
90,131172.874158903,1.4637108
90,131173.874159059,1.4636344
90,131174.874159216,1.4635962
90,131175.874159372,1.4638064
